sno.,anime_id,name,genre,type,episodes,rating,members
1201,32828,Amaama to Inazuma,"Comedy, Seinen, Slice of Life",TV,12,7.63,95339
1202,10067,Angel Beats!: Another Epilogue,"Drama, School, Supernatural",Special,1,7.63,134180
1203,13115,Hakuouki Reimeiroku,"Action, Drama, Historical, Josei, Samurai, Supernatural",TV,12,7.63,29485
1204,2174,Hokuto no Ken: Raoh Gaiden Gekitou-hen,"Action, Adventure, Martial Arts, Romance",Movie,1,7.63,4614
1205,821,Initial D Battle Stage,"Action, Cars, Drama, Seinen, Sports",OVA,1,7.63,13633
1206,5494,Konnichiwa Anne: Before Green Gables,"Drama, Historical, Kids, Slice of Life",TV,39,7.63,2723
1207,6604,Kuruneko,"Comedy, Slice of Life",TV,50,7.63,2526
1208,32526,Love Live! Sunshine!!,"Music, School, Slice of Life",TV,13,7.63,45246
1209,8100,Mardock Scramble: The First Compression,"Action, Psychological, Sci-Fi",Movie,1,7.63,40698
1210,14527,Medaka Box Abnormal,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,12,7.63,66972
1211,2835,Patalliro!,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",TV,49,7.63,2409
1212,2549,Perrine Monogatari,"Drama, Historical, Shoujo, Slice of Life",TV,53,7.63,1744
1213,814,Prince of Tennis: Atobe&#039;s Gift,"Comedy, Shounen, Sports",Movie,1,7.63,10567
1214,28497,Rokka no Yuusha,"Action, Adventure, Fantasy, Magic, Mystery",TV,12,7.63,218747
1215,15989,Saki Achiga-hen: Episode of Side-A Specials,"Game, School, Slice of Life",Special,4,7.63,9163
1216,2098,"Shin Kimagure Orangeâ˜†Road: Soshite, Ano Natsu no Hajimari","Comedy, Drama, Ecchi, Fantasy, Magic, Romance, Shounen, Slice of Life",Movie,1,7.63,4199
1217,7858,Sora no Otoshimono: Project Pink,"Comedy, Ecchi, Harem, Sci-Fi, Shounen, Supernatural",OVA,1,7.63,61903
1218,5118,Suzumiya Haruhi-chan no Yuuutsu,"Comedy, Parody",ONA,25,7.63,70416
1219,1651,Uchuu Senkan Yamato 2,"Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.63,3461
1220,691,Yawara!,"Action, Comedy, Drama, Martial Arts, Romance, Slice of Life, Sports",TV,124,7.63,6437
1221,11759,Accel World,"Action, Game, Romance, School, Sci-Fi",TV,24,7.62,324284
1222,16273,Acchi Kocchi (TV): Place=Princess,"Comedy, Romance, School, Seinen, Slice of Life",Special,1,7.62,26246
1223,1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Drama, Magic, Shoujo",Movie,1,7.62,24968
1224,2424,Cardcaptor Sakura Specials,Comedy,Special,3,7.62,18604
1225,6573,Darker than Black: Ryuusei no Gemini,"Action, Mystery, Sci-Fi, Super Power",TV,12,7.62,222243
1226,21743,Donten ni Warau,"Action, Historical, Shoujo",TV,12,7.62,57649
1227,901,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.62,65953
1228,14837,Dragon Ball Z Movie 14: Kami to Kami,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power",Movie,1,7.62,66471
1229,31706,Fate/kaleid liner Prismaâ˜†Illya 3rei!!,"Action, Comedy, Fantasy, Magic",TV,12,7.62,30457
1230,364,Gallery Fake,"Mystery, Seinen",TV,37,7.62,6806
1231,4060,Grimm Masterpiece Theater,"Adventure, Comedy, Fantasy, Kids, Magic",TV,24,7.62,1938
1232,23269,Hello!! Kiniro Mosaic,"Comedy, School, Slice of Life",TV,12,7.63,33295
1233,3165,Hidamari Sketch Specials,"Comedy, School, Slice of Life",Special,2,7.62,13334
1234,449,InuYasha: Guren no Houraijima,"Adventure, Comedy, Demons, Drama, Historical, Romance, Shounen, Supernatural",Movie,1,7.62,50008
1235,32870,Kuroko no Basket Movie 2: Winter Cup Soushuuhen - Namida no Saki e,"School, Shounen, Sports",Movie,1,7.61,5470
1236,522,Metropolis,"Adventure, Drama, Police, Romance, Sci-Fi, Shounen",Movie,1,7.62,44030
1237,96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,7.62,36338
1238,10589,Naruto: Shippuuden Movie 5 - Blood Prison,"Action, Adventure, Martial Arts, Mystery, Shounen, Super Power",Movie,1,7.62,75660
1239,3420,Shigofumi,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV,12,7.62,54000
1240,10378,Shinryaku!? Ika Musume,"Comedy, Shounen, Slice of Life",TV,12,7.62,45613
1241,31327,Shokugeki no Souma OVA,"Ecchi, School, Shounen",OVA,3,7.62,24456
1242,3369,Shoubushi Densetsu Tetsuya,"Game, Historical, Shounen",TV,20,7.62,3735
1243,8197,So Ra No Wo To Specials,"Military, Music, Sci-Fi, Slice of Life",Special,2,7.62,16491
1244,1072,Sweat Punch,"Action, Fantasy, Historical, Mecha",OVA,5,7.62,26679
1245,18499,Yozakura Quartet: Tsuki ni Naku,"Action, Comedy, Magic, Shounen, Super Power, Supernatural",OVA,3,7.62,13790
1246,5075,Yuusha Keisatsu J-Decker,"Action, Adventure, Mecha, Police, Sci-Fi",TV,48,7.62,1116
1247,1195,Zero no Tsukaima,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,13,7.62,346828
1248,1003,Aa! Megami-sama! (TV) Specials,"Comedy, Magic, Romance, Seinen, Supernatural",Special,3,7.61,19257
1249,11235,Amagami SS+ Plus,"Comedy, Romance, School, Slice of Life",TV,13,7.61,73813
1250,586,Ayakashi: Japanese Classic Horror,"Fantasy, Historical, Horror",TV,11,7.61,34938
1251,4981,Casshern Sins,"Action, Adventure, Drama, Psychological, Sci-Fi",TV,24,7.61,80307
1252,2961,Digimon Adventure Movie,"Action, Fantasy, Kids, Sci-Fi",Movie,1,7.61,60753
1253,1747,Freedom,"Action, Adventure, Sci-Fi",OVA,7,7.61,13918
1254,2409,Gokudou-kun Manyuuki,"Adventure, Comedy, Fantasy, Magic",TV,26,7.61,8131
1255,4039,Golgo 13 (TV),"Action, Adventure, Drama, Seinen, Thriller",TV,50,7.61,18687
1256,2458,Kimagure Orangeâ˜†Road OVA,"Comedy, Drama, Magic, Romance, School",OVA,8,7.61,3542
1257,22693,Lady Jewelpet,"Fantasy, Magic, Romance, Shoujo",TV,52,7.61,3085
1258,1563,Magic Knight Rayearth II,"Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",TV,29,7.61,19209
